date,open,high,low,close,volume
2020-01-02,55200.0,55200.0,55200.0,55200.0,0
2020-01-03,55500.0,55500.0,55500.0,55500.0,0
2020-01-06,55500.0,55500.0,55500.0,55500.0,0
2020-01-07,55800.0,55800.0,55800.0,55800.0,0
2020-01-08,56800.0,56800.0,56800.0,56800.0,0
2020-01-09,58600.0,58600.0,58600.0,58600.0,0
2020-01-10,59500.0,59500.0,59500.0,59500.0,0
2020-01-13,60000.0,60000.0,60000.0,60000.0,0
2020-01-14,60000.0,60000.0,60000.0,60000.0,0
2020-01-15,59000.0,59000.0,59000.0,59000.0,0
2020-01-16,60700.0,60700.0,60700.0,60700.0,0
2020-01-17,61300.0,61300.0,61300.0,61300.0,0
2020-01-20,62400.0,62400.0,62400.0,62400.0,0
2020-01-21,61400.0,61400.0,61400.0,61400.0,0
2020-01-22,62300.0,62300.0,62300.0,62300.0,0
2020-01-23,60800.0,60800.0,60800.0,60800.0,0
2020-01-28,58800.0,58800.0,58800.0,58800.0,0
2020-01-29,59100.0,59100.0,59100.0,59100.0,0
2020-01-30,57200.0,57200.0,57200.0,57200.0,0
2020-01-31,56400.0,56400.0,56400.0,56400.0,0
2020-02-03,57200.0,57200.0,57200.0,57200.0,0
2020-02-04,58900.0,58900.0,58900.0,58900.0,0
2020-02-05,59500.0,59500.0,59500.0,59500.0,0
2020-02-06,61100.0,61100.0,61100.0,61100.0,0
2020-02-07,60400.0,60400.0,60400.0,60400.0,0
2020-02-10,59700.0,59700.0,59700.0,59700.0,0
2020-02-11,59900.0,59900.0,59900.0,59900.0,0
2020-02-12,60500.0,60500.0,60500.0,60500.0,0
2020-02-13,60700.0,60700.0,60700.0,60700.0,0
2020-02-14,61800.0,61800.0,61800.0,61800.0,0
2020-02-17,61500.0,61500.0,61500.0,61500.0,0
2020-02-18,59800.0,59800.0,59800.0,59800.0,0
2020-02-19,60200.0,60200.0,60200.0,60200.0,0
2020-02-20,60000.0,60000.0,60000.0,60000.0,0
2020-02-21,59200.0,59200.0,59200.0,59200.0,0
2020-02-24,56800.0,56800.0,56800.0,56800.0,0
2020-02-25,57900.0,57900.0,57900.0,57900.0,0
2020-02-26,56500.0,56500.0,56500.0,56500.0,0
2020-02-27,55900.0,55900.0,55900.0,55900.0,0
2020-02-28,54200.0,54200.0,54200.0,54200.0,0
2020-03-02,55000.0,55000.0,55000.0,55000.0,0
2020-03-03,55400.0,55400.0,55400.0,55400.0,0
2020-03-04,57400.0,57400.0,57400.0,57400.0,0
2020-03-05,57800.0,57800.0,57800.0,57800.0,0
2020-03-06,56500.0,56500.0,56500.0,56500.0,0
2020-03-09,54200.0,54200.0,54200.0,54200.0,0
2020-03-10,54600.0,54600.0,54600.0,54600.0,0
2020-03-11,52100.0,52100.0,52100.0,52100.0,0
2020-03-12,50800.0,50800.0,50800.0,50800.0,0
2020-03-13,49950.0,49950.0,49950.0,49950.0,0
2020-03-16,48900.0,48900.0,48900.0,48900.0,0
2020-03-17,47300.0,47300.0,47300.0,47300.0,0
2020-03-18,45600.0,45600.0,45600.0,45600.0,0
2020-03-19,42950.0,42950.0,42950.0,42950.0,0
2020-03-20,45400.0,45400.0,45400.0,45400.0,0
2020-03-23,42500.0,42500.0,42500.0,42500.0,0
2020-03-24,46950.0,46950.0,46950.0,46950.0,0
2020-03-25,48650.0,48650.0,48650.0,48650.0,0
2020-03-26,47800.0,47800.0,47800.0,47800.0,0
2020-03-27,48300.0,48300.0,48300.0,48300.0,0
2020-03-30,47850.0,47850.0,47850.0,47850.0,0
2020-03-31,47750.0,47750.0,47750.0,47750.0,0
2020-04-01,45800.0,45800.0,45800.0,45800.0,0
2020-04-02,46800.0,46800.0,46800.0,46800.0,0
2020-04-03,47000.0,47000.0,47000.0,47000.0,0
2020-04-06,48700.0,48700.0,48700.0,48700.0,0
2020-04-07,49600.0,49600.0,49600.0,49600.0,0
2020-04-08,48600.0,48600.0,48600.0,48600.0,0
2020-04-09,49100.0,49100.0,49100.0,49100.0,0
2020-04-10,49250.0,49250.0,49250.0,49250.0,0
2020-04-13,48300.0,48300.0,48300.0,48300.0,0
2020-04-14,49000.0,49000.0,49000.0,49000.0,0
2020-04-16,49000.0,49000.0,49000.0,49000.0,0
2020-04-17,51400.0,51400.0,51400.0,51400.0,0
2020-04-20,50100.0,50100.0,50100.0,50100.0,0
2020-04-21,49250.0,49250.0,49250.0,49250.0,0
2020-04-22,49850.0,49850.0,49850.0,49850.0,0
2020-04-23,49850.0,49850.0,49850.0,49850.0,0
2020-04-24,49350.0,49350.0,49350.0,49350.0,0
2020-04-27,49850.0,49850.0,49850.0,49850.0,0
2020-04-28,50100.0,50100.0,50100.0,50100.0,0
2020-04-29,50000.0,50000.0,50000.0,50000.0,0
2020-05-04,48500.0,48500.0,48500.0,48500.0,0
2020-05-06,49200.0,49200.0,49200.0,49200.0,0
2020-05-07,48800.0,48800.0,48800.0,48800.0,0
2020-05-08,48800.0,48800.0,48800.0,48800.0,0
2020-05-11,48400.0,48400.0,48400.0,48400.0,0
2020-05-12,47900.0,47900.0,47900.0,47900.0,0
2020-05-13,48550.0,48550.0,48550.0,48550.0,0
2020-05-14,48000.0,48000.0,48000.0,48000.0,0
2020-05-15,47850.0,47850.0,47850.0,47850.0,0
2020-05-18,48800.0,48800.0,48800.0,48800.0,0
2020-05-19,50300.0,50300.0,50300.0,50300.0,0
2020-05-20,50000.0,50000.0,50000.0,50000.0,0
2020-05-21,49950.0,49950.0,49950.0,49950.0,0
2020-05-22,48750.0,48750.0,48750.0,48750.0,0
2020-05-25,48850.0,48850.0,48850.0,48850.0,0
2020-05-26,49250.0,49250.0,49250.0,49250.0,0
2020-05-27,49900.0,49900.0,49900.0,49900.0,0
2020-05-28,50400.0,50400.0,50400.0,50400.0,0
2020-05-29,50700.0,50700.0,50700.0,50700.0,0
2020-06-01,51200.0,51200.0,51200.0,51200.0,0
2020-06-02,51400.0,51400.0,51400.0,51400.0,0
2020-06-03,54500.0,54500.0,54500.0,54500.0,0
2020-06-04,54600.0,54600.0,54600.0,54600.0,0
2020-06-05,55500.0,55500.0,55500.0,55500.0,0
2020-06-08,54900.0,54900.0,54900.0,54900.0,0
2020-06-09,55500.0,55500.0,55500.0,55500.0,0
2020-06-10,55400.0,55400.0,55400.0,55400.0,0
2020-06-11,54300.0,54300.0,54300.0,54300.0,0
2020-06-12,52300.0,52300.0,52300.0,52300.0,0
2020-06-15,49900.0,49900.0,49900.0,49900.0,0
2020-06-16,52100.0,52100.0,52100.0,52100.0,0
2020-06-17,52200.0,52200.0,52200.0,52200.0,0
2020-06-18,52300.0,52300.0,52300.0,52300.0,0
2020-06-19,52900.0,52900.0,52900.0,52900.0,0
2020-06-22,52000.0,52000.0,52000.0,52000.0,0
2020-06-23,51400.0,51400.0,51400.0,51400.0,0
2020-06-24,52900.0,52900.0,52900.0,52900.0,0
2020-06-25,51900.0,51900.0,51900.0,51900.0,0
2020-06-26,53300.0,53300.0,53300.0,53300.0,0
2020-06-29,52400.0,52400.0,52400.0,52400.0,0
2020-06-30,52800.0,52800.0,52800.0,52800.0,0
2020-07-01,52600.0,52600.0,52600.0,52600.0,0
2020-07-02,52900.0,52900.0,52900.0,52900.0,0
2020-07-03,53600.0,53600.0,53600.0,53600.0,0
2020-07-06,55000.0,55000.0,55000.0,55000.0,0
2020-07-07,53400.0,53400.0,53400.0,53400.0,0
2020-07-08,53000.0,53000.0,53000.0,53000.0,0
2020-07-09,52800.0,52800.0,52800.0,52800.0,0
2020-07-10,52700.0,52700.0,52700.0,52700.0,0
2020-07-13,53400.0,53400.0,53400.0,53400.0,0
2020-07-14,53800.0,53800.0,53800.0,53800.0,0
2020-07-15,54700.0,54700.0,54700.0,54700.0,0
2020-07-16,53800.0,53800.0,53800.0,53800.0,0
2020-07-17,54400.0,54400.0,54400.0,54400.0,0
2020-07-20,54200.0,54200.0,54200.0,54200.0,0
2020-07-21,55300.0,55300.0,55300.0,55300.0,0
2020-07-22,54700.0,54700.0,54700.0,54700.0,0
2020-07-23,54100.0,54100.0,54100.0,54100.0,0
2020-07-24,54200.0,54200.0,54200.0,54200.0,0
2020-07-27,55600.0,55600.0,55600.0,55600.0,0
2020-07-28,58600.0,58600.0,58600.0,58600.0,0
2020-07-29,59000.0,59000.0,59000.0,59000.0,0
2020-07-30,59000.0,59000.0,59000.0,59000.0,0
2020-07-31,57900.0,57900.0,57900.0,57900.0,0
2020-08-03,56800.0,56800.0,56800.0,56800.0,0
2020-08-04,57300.0,57300.0,57300.0,57300.0,0
2020-08-05,56900.0,56900.0,56900.0,56900.0,0
2020-08-06,58000.0,58000.0,58000.0,58000.0,0
2020-08-07,57500.0,57500.0,57500.0,57500.0,0
2020-08-10,57800.0,57800.0,57800.0,57800.0,0
2020-08-11,58200.0,58200.0,58200.0,58200.0,0
2020-08-12,59000.0,59000.0,59000.0,59000.0,0
2020-08-13,58700.0,58700.0,58700.0,58700.0,0
2020-08-14,58000.0,58000.0,58000.0,58000.0,0
2020-08-18,58400.0,58400.0,58400.0,58400.0,0
2020-08-19,57800.0,57800.0,57800.0,57800.0,0
2020-08-20,55400.0,55400.0,55400.0,55400.0,0
2020-08-21,55900.0,55900.0,55900.0,55900.0,0
2020-08-24,56100.0,56100.0,56100.0,56100.0,0
2020-08-25,56400.0,56400.0,56400.0,56400.0,0
2020-08-26,56400.0,56400.0,56400.0,56400.0,0
2020-08-27,55600.0,55600.0,55600.0,55600.0,0
2020-08-28,55400.0,55400.0,55400.0,55400.0,0
2020-08-31,54000.0,54000.0,54000.0,54000.0,0
2020-09-01,54200.0,54200.0,54200.0,54200.0,0
2020-09-02,54400.0,54400.0,54400.0,54400.0,0
2020-09-03,56400.0,56400.0,56400.0,56400.0,0
2020-09-04,55600.0,55600.0,55600.0,55600.0,0
2020-09-07,56500.0,56500.0,56500.0,56500.0,0
2020-09-08,58700.0,58700.0,58700.0,58700.0,0
2020-09-09,58400.0,58400.0,58400.0,58400.0,0
2020-09-10,59200.0,59200.0,59200.0,59200.0,0
